id_distribuidor,resultado_txt,monto_autorizado,tasa_minima,tasa_sugerida,probabilidad,grupo_riesgo
157189,"Tasa anual sugerida es de 147% con rentabilidad: 42.66% y pagando 569.24
Tasa anual mínima posible es de 142% con rentabilidad: 40.04% y pagando 563.49",7000,142,147,0.8846513033,Canasta 4
157194,"Tasa anual sugerida es de 147% con rentabilidad: 61.36% y pagando 813.20
Tasa anual mínima posible es de 100% con rentabilidad: 40.59% y pagando 747.41",10000,100,147,0.97967875,Canasta 6
157194,"Tasa anual sugerida es de 147% con rentabilidad: 60.07% y pagando 731.88
Tasa anual mínima posible es de 105% con rentabilidad: 40.52% y pagando 676.21",9000,105,147,0.97967875,Canasta 6
157194,"Tasa anual sugerida es de 147% con rentabilidad: 58.45% y pagando 650.56
Tasa anual mínima posible es de 105% con rentabilidad: 40.59% y pagando 605.30",8000,105,147,0.97967875,Canasta 6
157194,"Tasa anual sugerida es de 147% con rentabilidad: 56.37% y pagando 569.24
Tasa anual mínima posible es de 110% con rentabilidad: 40.03% y pagando 533.34",7000,110,147,0.97967875,Canasta 6
157194,"Tasa anual sugerida es de 147% con rentabilidad: 53.60% y pagando 487.92
Tasa anual mínima posible es de 117% con rentabilidad: 40.29% y pagando 462.74",6000,117,147,0.97967875,Canasta 6
157194,"Tasa anual sugerida es de 147% con rentabilidad: 49.73% y pagando 406.60
Tasa anual mínima posible es de 127% con rentabilidad: 40.23% y pagando 391.64",5000,127,147,0.97967875,Canasta 6
157198,"Tasa anual sugerida es de 147% con rentabilidad: 47.64% y pagando 813.20
Tasa anual mínima posible es de 132% con rentabilidad: 40.29% y pagando 790.03",10000,132,147,0.858674705,Canasta 4
157198,"Tasa anual sugerida es de 147% con rentabilidad: 46.35% y pagando 731.88
Tasa anual mínima posible es de 137% con rentabilidad: 40.29% y pagando 714.69",9000,137,147,0.858674705,Canasta 4
157198,"Tasa anual sugerida es de 147% con rentabilidad: 44.74% y pagando 650.56
Tasa anual mínima posible es de 137% con rentabilidad: 40.41% y pagando 639.62",8000,137,147,0.858674705,Canasta 4
157198,"Tasa anual sugerida es de 147% con rentabilidad: 42.66% y pagando 569.24
Tasa anual mínima posible es de 142% con rentabilidad: 40.04% y pagando 563.49",7000,142,147,0.858674705,Canasta 4
157201,"Tasa anual sugerida es de 147% con rentabilidad: 42.53% y pagando 813.20
Tasa anual mínima posible es de 142% con rentabilidad: 40.36% y pagando 806.35",10000,142,147,0.8140254021,Canasta 3
157201,"Tasa anual sugerida es de 147% con rentabilidad: 41.24% y pagando 731.88
Tasa anual mínima posible es de 147% con rentabilidad: 40.37% y pagando 729.41",9000,147,147,0.8140254021,Canasta 3
157204,"Tasa anual sugerida es de 147% con rentabilidad: 61.36% y pagando 813.20
Tasa anual mínima posible es de 100% con rentabilidad: 40.59% y pagando 747.41",10000,100,147,0.9763430953,Canasta 6
157204,"Tasa anual sugerida es de 147% con rentabilidad: 60.07% y pagando 731.88
Tasa anual mínima posible es de 105% con rentabilidad: 40.52% y pagando 676.21",9000,105,147,0.9763430953,Canasta 6
157204,"Tasa anual sugerida es de 147% con rentabilidad: 58.45% y pagando 650.56
Tasa anual mínima posible es de 105% con rentabilidad: 40.59% y pagando 605.30",8000,105,147,0.9763430953,Canasta 6
157204,"Tasa anual sugerida es de 147% con rentabilidad: 56.37% y pagando 569.24
Tasa anual mínima posible es de 110% con rentabilidad: 40.03% y pagando 533.34",7000,110,147,0.9763430953,Canasta 6
157204,"Tasa anual sugerida es de 147% con rentabilidad: 53.60% y pagando 487.92
Tasa anual mínima posible es de 117% con rentabilidad: 40.29% y pagando 462.74",6000,117,147,0.9763430953,Canasta 6
157204,"Tasa anual sugerida es de 147% con rentabilidad: 49.73% y pagando 406.60
Tasa anual mínima posible es de 127% con rentabilidad: 40.23% y pagando 391.64",5000,127,147,0.9763430953,Canasta 6
147364,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1050.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.7051388025,Canasta 2
147481,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 712.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6838712096,Canasta 2
147486,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 762.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.2326734066,Canasta 1
147490,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 912.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.447730124,Canasta 1
153407,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 934.5
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.5703544617,Canasta 2
153409,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 620.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6471051574,Canasta 2
153432,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 525.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.7513115406,Canasta 2
153820,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 529.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.0333025753,Canasta 1
153821,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 546.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.0338075906,Canasta 1
154057,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 424.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.041927997,Canasta 1
154061,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 446.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.091086559,Canasta 1
154217,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 585.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.1415974051,Canasta 1
154329,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 800.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.5284885168,Canasta 2
154332,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 950.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.2069391161,Canasta 1
154351,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 620.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.4876082838,Canasta 1
154374,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 702.5
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.5724147558,Canasta 2
154409,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 675.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.166662693,Canasta 1
154475,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1020.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6486532092,Canasta 2
154477,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1050.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6775491238,Canasta 2
154772,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 720.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.7379710674,Canasta 2
154844,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 700.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.1858703792,Canasta 1
153341,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 725.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.7227618098,Canasta 2
154845,"Tasa anual sugerida es de 147% con rentabilidad: 47.64% y pagando 813.20
Tasa anual mínima posible es de 132% con rentabilidad: 40.29% y pagando 790.03",10000,132,147,0.9335207343,Canasta 4
154845,"Tasa anual sugerida es de 147% con rentabilidad: 46.35% y pagando 731.88
Tasa anual mínima posible es de 137% con rentabilidad: 40.29% y pagando 714.69",9000,137,147,0.9335207343,Canasta 4
154845,"Tasa anual sugerida es de 147% con rentabilidad: 44.74% y pagando 650.56
Tasa anual mínima posible es de 137% con rentabilidad: 40.41% y pagando 639.62",8000,137,147,0.9335207343,Canasta 4
154845,"Tasa anual sugerida es de 147% con rentabilidad: 42.66% y pagando 569.24
Tasa anual mínima posible es de 142% con rentabilidad: 40.04% y pagando 563.49",7000,142,147,0.9335207343,Canasta 4
155619,"Tasa anual sugerida es de 147% con rentabilidad: 42.53% y pagando 813.20
Tasa anual mínima posible es de 142% con rentabilidad: 40.36% y pagando 806.35",10000,142,147,0.7703770399,Canasta 3
155619,"Tasa anual sugerida es de 147% con rentabilidad: 41.24% y pagando 731.88
Tasa anual mínima posible es de 147% con rentabilidad: 40.37% y pagando 729.41",9000,147,147,0.7703770399,Canasta 3
155621,"Tasa anual sugerida es de 147% con rentabilidad: 42.53% y pagando 813.20
Tasa anual mínima posible es de 142% con rentabilidad: 40.36% y pagando 806.35",10000,142,147,0.7577906251,Canasta 3
155621,"Tasa anual sugerida es de 147% con rentabilidad: 41.24% y pagando 731.88
Tasa anual mínima posible es de 147% con rentabilidad: 40.37% y pagando 729.41",9000,147,147,0.7577906251,Canasta 3
155668,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1732.5
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.63518852,Canasta 2
156076,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -40.50%) y se tiene capacidad hasta 600.0
La rentabilidad máx alcanzada es de 30.90% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.797278285,Canasta 3
159068,"Tasa anual sugerida es de 147% con rentabilidad: 61.36% y pagando 813.20
Tasa anual mínima posible es de 100% con rentabilidad: 40.59% y pagando 747.41",10000,100,147,0.9779071808,Canasta 6
159068,"Tasa anual sugerida es de 147% con rentabilidad: 60.07% y pagando 731.88
Tasa anual mínima posible es de 105% con rentabilidad: 40.52% y pagando 676.21",9000,105,147,0.9779071808,Canasta 6
159068,"Tasa anual sugerida es de 147% con rentabilidad: 58.45% y pagando 650.56
Tasa anual mínima posible es de 105% con rentabilidad: 40.59% y pagando 605.30",8000,105,147,0.9779071808,Canasta 6
159068,"Tasa anual sugerida es de 147% con rentabilidad: 56.37% y pagando 569.24
Tasa anual mínima posible es de 110% con rentabilidad: 40.03% y pagando 533.34",7000,110,147,0.9779071808,Canasta 6
159068,"Tasa anual sugerida es de 147% con rentabilidad: 53.60% y pagando 487.92
Tasa anual mínima posible es de 117% con rentabilidad: 40.29% y pagando 462.74",6000,117,147,0.9779071808,Canasta 6
159068,"Tasa anual sugerida es de 147% con rentabilidad: 49.73% y pagando 406.60
Tasa anual mínima posible es de 127% con rentabilidad: 40.23% y pagando 391.64",5000,127,147,0.9779071808,Canasta 6
159069,"Tasa anual sugerida es de 147% con rentabilidad: 42.53% y pagando 813.20
Tasa anual mínima posible es de 142% con rentabilidad: 40.36% y pagando 806.35",10000,142,147,0.8376294971,Canasta 3
159069,"Tasa anual sugerida es de 147% con rentabilidad: 41.24% y pagando 731.88
Tasa anual mínima posible es de 147% con rentabilidad: 40.37% y pagando 729.41",9000,147,147,0.8376294971,Canasta 3
160010,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1300.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6666178107,Canasta 2
160011,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 1774.5
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.3641903102,Canasta 1
160012,"Tasa anual sugerida es de 147% con rentabilidad: 47.64% y pagando 813.20
Tasa anual mínima posible es de 132% con rentabilidad: 40.29% y pagando 790.03",10000,132,147,0.9246736765,Canasta 4
160012,"Tasa anual sugerida es de 147% con rentabilidad: 46.35% y pagando 731.88
Tasa anual mínima posible es de 137% con rentabilidad: 40.29% y pagando 714.69",9000,137,147,0.9246736765,Canasta 4
160012,"Tasa anual sugerida es de 147% con rentabilidad: 44.74% y pagando 650.56
Tasa anual mínima posible es de 137% con rentabilidad: 40.41% y pagando 639.62",8000,137,147,0.9246736765,Canasta 4
160012,"Tasa anual sugerida es de 147% con rentabilidad: 42.66% y pagando 569.24
Tasa anual mínima posible es de 142% con rentabilidad: 40.04% y pagando 563.49",7000,142,147,0.9246736765,Canasta 4
160015,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 2140.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.3950220048,Canasta 1
160020,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 726.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.4656262398,Canasta 1
160463,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1010.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6783707738,Canasta 2
157115,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1983.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6715219021,Canasta 2
157132,"Tasa anual sugerida es de 147% con rentabilidad: 42.53% y pagando 813.20
Tasa anual mínima posible es de 142% con rentabilidad: 40.36% y pagando 806.35",10000,142,147,0.8103696108,Canasta 3
157132,"Tasa anual sugerida es de 147% con rentabilidad: 41.24% y pagando 731.88
Tasa anual mínima posible es de 147% con rentabilidad: 40.37% y pagando 729.41",9000,147,147,0.8103696108,Canasta 3
157205,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 850.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6020590663,Canasta 2
157261,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 1608.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.1848544478,Canasta 1
157375,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 696.5
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6530001163,Canasta 2
157382,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 496.5
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.5160186887,Canasta 2
157414,"Tasa anual sugerida es de 147% con rentabilidad: 42.53% y pagando 813.20
Tasa anual mínima posible es de 142% con rentabilidad: 40.36% y pagando 806.35",10000,142,147,0.7731525898,Canasta 3
157414,"Tasa anual sugerida es de 147% con rentabilidad: 41.24% y pagando 731.88
Tasa anual mínima posible es de 147% con rentabilidad: 40.37% y pagando 729.41",9000,147,147,0.7731525898,Canasta 3
157509,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 1650.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.447820127,Canasta 1
157520,"Tasa anual sugerida es de 147% con rentabilidad: 42.53% y pagando 813.20
Tasa anual mínima posible es de 142% con rentabilidad: 40.36% y pagando 806.35",10000,142,147,0.8133989573,Canasta 3
157520,"Tasa anual sugerida es de 147% con rentabilidad: 41.24% y pagando 731.88
Tasa anual mínima posible es de 147% con rentabilidad: 40.37% y pagando 729.41",9000,147,147,0.8133989573,Canasta 3
157522,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 962.5
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6093473434,Canasta 2
157527,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1541.5
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.6466423273,Canasta 2
157586,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -88.50%) y se tiene capacidad hasta 1650.0
La rentabilidad máx alcanzada es de 7.29% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.2437878102,Canasta 1
157587,"No existe un intervalo factible, se rechaza el crédito
Su capacidad de pago no asegura tener una rentabilidad del 40%
El pago semanal mínimo es de 358.78 (con rentabilidad de -68.52%) y se tiene capacidad hasta 1340.0
La rentabilidad máx alcanzada es de 17.12% (con pago de 406.60) y se tiene como objetivo 40.0%",0,0,0,0.5163417459,Canasta 2
